OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-33824,2025-089R,2025-05-08T06:00:02.000160,15.84154568,.000196,43.0056,336.3077,270.9578,128.4621,0,U,63766,999,217,-.54381E-2,-.1135796E-1,0
STARLINK-33808,2025-089S,2025-05-08T06:00:02.000160,15.84189300,.0002104,43.0056,336.3029,274.0783,127.2639,0,U,63767,999,217,-.54709E-2,-.1143737E-1,0
STARLINK-33844,2025-089T,2025-05-08T06:00:02.000160,15.84227677,.0001874,43.0057,336.2981,263.7675,139.4132,0,U,63768,999,217,-.5512E-2,-.1153216E-1,0
STARLINK-33907,2025-089U,2025-05-08T06:00:02.000160,15.84256955,.0001822,43.0057,336.2932,269.5311,135.5885,0,U,63769,999,212,-.55171E-2,-.1155606E-1,0
STARLINK-33884,2025-089V,2025-05-07T22:00:01.999584,15.85063806,.0001691,43.0054,338.3415,265.9865,37.3741,0,U,63770,999,208,-.51522E-2,-.1105622E-1,0
STARLINK-33841,2025-089W,2025-05-07T22:00:01.999584,15.85097974,.0001589,43.0053,338.3364,273.9380,31.3204,0,U,63771,999,208,-.51604E-2,-.1108739E-1,0
BIOMASS,2025-090A,2025-05-07T23:23:25.999008,14.68203328,.0001032,98.0728,316.0580,35.1341,324.9931,0,U,63772,999,125,.19815E-3,.1092E-4,0
STARLINK-33769,2025-089X,2025-05-07T22:00:01.999584,15.85131823,.0001657,43.0053,338.3304,273.5337,33.9128,0,U,63773,999,212,-.51987E-2,-.1138129E-1,0
STARLINK-33914,2025-089Y,2025-05-07T22:00:01.999584,15.85169370,.000159,43.0053,338.3259,270.6179,38.8276,0,U,63774,999,213,-.52244E-2,-.1145018E-1,0
STARLINK-33932,2025-091A,2025-05-07T22:00:01.999584,15.92781099,.0001803,43.0006,348.8229,265.6688,338.5863,0,U,63775,999,208,-.22056E-2,-.792727E-2,.1995E-3
STARLINK-33930,2025-091B,2025-05-08T06:00:02.000160,15.92360173,.000229,43.0005,346.7427,269.9281,88.9793,0,U,63776,999,207,-.23832E-2,-.837571E-2,.21956E-3
STARLINK-33911,2025-091C,2025-05-08T06:00:02.000160,15.92452685,.0002022,43.0006,346.7385,268.8473,91.7090,0,U,63777,999,207,-.2394E-2,-.845343E-2,.22348E-3
STARLINK-33938,2025-091D,2025-05-07T22:00:01.999584,15.93014895,.0001875,43.0005,348.8131,267.0703,341.1840,0,U,63778,999,212,-.22045E-2,-.802085E-2,.20427E-3
STARLINK-33881,2025-091E,2025-05-08T06:00:02.000160,15.92625849,.0002066,43.0006,346.7306,262.8003,100.8433,0,U,63779,999,207,-.24082E-2,-.858019E-2,.23001E-3
STARLINK-33846,2025-091F,2025-05-07T22:00:01.999584,15.93219822,.0001929,43.0006,348.8048,265.2385,346.2948,0,U,63780,999,208,-.22049E-2,-.810896E-2,.20879E-3
STARLINK-33883,2025-091G,2025-05-07T22:00:01.999584,15.93319942,.000187,43.0007,348.8008,259.4817,353.6320,0,U,63781,999,203,-.221E-2,-.81703E-2,.21187E-3
